Generation,Min,Max,Mean,Evals
Trial 0 final result: after 50000 generations the shortest path is: 803
Trial 0 Shortest path: 45, 27, 52, 34, 46, 4, 75, 76, 68, 6, 51, 17, 58, 10, 72, 39, 9, 40, 12, 26, 7, 35, 14, 59, 19, 67, 23, 56, 41, 42, 64, 43, 49, 24, 18, 50, 63, 22, 28, 61, 69, 71, 60, 70, 20, 36, 47, 21, 74, 48, 29, 30, 2, 62, 73, 33, 16, 3, 32, 38, 54, 13, 57, 15, 37, 5, 8, 53, 11, 66, 65, 31, 55, 25, 44, 
Trial 0 begin summary section
167,1686,1062,1397.15,0
168,1695,1062,1404.96,0
169,1677,1062,1400.8,0
170,1692,1062,1383.44,0
171,1656,1062,1375.64,0
172,1651,1062,1365.94,0
173,1668,1062,1360.63,0
174,1698,1062,1368.22,0
175,1704,1062,1358.88,0
176,1746,1062,1350.77,0
177,1757,1062,1360.33,0
178,1672,1062,1376.05,0
179,1718,1062,1390.92,0
180,1739,1062,1389.63,0
181,1669,1062,1389.67,0
182,1704,1062,1399.61,0
183,1685,1062,1388.27,0
184,1729,1062,1385.68,0
185,1705,1062,1380.93,0
186,1711,1062,1369.3,0
187,1759,1062,1379.51,0
188,1675,1062,1385.36,0
189,1658,1062,1377.81,0
190,1736,1062,1390.13,0
191,1671,1062,1386.8,0
192,1712,1062,1376.55,0
193,1672,1062,1374.31,0
194,1647,1062,1371.16,0
195,1698,1062,1365.28,0
196,1620,1062,1365.52,0
197,1699,1054,1370.99,0
198,1635,1054,1371.27,0
199,1690,1054,1391.59,0
200,1667,1054,1388.97,0
201,1692,1054,1401.71,0
202,1723,1054,1403.1,0
203,1682,1054,1395.24,0
204,1710,1054,1404.26,0
205,1665,1054,1394.29,0
206,1607,1054,1385.35,0
207,1576,1043,1389.89,0
208,1592,1043,1395.68,0
209,1616,1043,1400.93,0
210,1637,1043,1404.29,0
211,1682,1043,1403.14,0
212,1706,1043,1408.79,0
213,1697,1043,1411.6,0
214,1698,1043,1400.91,0
215,1686,1043,1392.22,0
216,1695,1043,1378.6,0
217,1664,1043,1372.7,0
218,1642,1043,1366.39,0
219,1662,1043,1369.66,0
220,1654,1043,1358.49,0
221,1616,1043,1359.26,0
222,1618,1043,1375.17,0
223,1619,1043,1378.2,0
224,1632,1043,1388.12,0
225,1701,1043,1395,0
226,1637,1043,1403.13,0
227,1615,1043,1409.32,0
228,1631,1043,1410.82,0
229,1657,1043,1399.01,0
230,1643,1043,1399.33,0
231,1645,1043,1396.96,0
232,1700,1043,1389.03,0
233,1696,1043,1395.29,0
234,1727,1043,1392.24,0
235,1676,1043,1403.29,0
236,1695,1032,1391.08,0
237,1669,1032,1381.33,0
238,1687,1032,1403.31,0
239,1665,1032,1385.45,0
240,1727,1032,1381.87,0
241,1674,1032,1382.98,0
242,1701,1032,1383.08,0
243,1673,1032,1384.93,0
244,1685,1032,1381.51,0
245,1703,1032,1390.31,0
246,1734,1032,1374.38,0
247,1724,1032,1367.78,0
248,1671,1032,1359.44,0
249,1720,1032,1359.71,0
250,1630,1032,1342.41,0
251,1619,1032,1333.7,0
252,1613,1032,1338.26,0
253,1646,1027,1347.06,0
254,1631,1027,1335.57,0
255,1621,1027,1338.19,0
256,1612,1027,1352.76,0
257,1635,1027,1350.29,0
258,1644,1027,1356.13,0
259,1582,1027,1354.83,0
260,1597,1027,1361.81,0
261,1607,1027,1357.91,0
262,1618,1027,1358.64,0
263,1685,1027,1356.59,0
264,1671,1027,1352.03,0
265,1653,1027,1344.89,0
266,1739,1027,1332.08,0
267,1736,1027,1333.73,0
268,1724,1027,1332.99,0
269,1740,1027,1345.37,0
270,1701,1027,1358.07,0
271,1708,1027,1364,0
272,1683,1027,1368.2,0
273,1684,1027,1349.78,0
274,1671,1027,1369.28,0
275,1711,1027,1375.43,0
276,1696,1027,1365.88,0
277,1761,1027,1361.9,0
278,1654,1027,1363.61,0
279,1648,1027,1371.77,0
280,1734,1027,1381.92,0
281,1784,1027,1357.73,0
282,1779,1027,1352.61,0
283,1684,1027,1347.82,0
284,1705,1027,1366.46,0
285,1666,1027,1380.15,0
286,1636,1027,1384.29,0
287,1644,1027,1397.76,0
288,1661,1027,1389.12,0
289,1648,1027,1389.53,0
290,1661,1027,1395.76,0
291,1635,1027,1400.41,0
292,1668,1027,1404.09,0
293,1639,1027,1400.08,0
294,1661,1027,1398.44,0
295,1705,1027,1393.35,0
296,1719,1027,1403.37,0
297,1747,1027,1410.55,0
298,1725,1027,1417.15,0
299,1739,1027,1421.19,0
300,1700,1027,1413.49,0
301,1726,1027,1414.13,0
302,1747,1027,1390.76,0
303,1794,1027,1394.43,0
304,1746,1027,1391.61,0
305,1657,1027,1392.55,0
306,1679,1027,1384.24,0
307,1673,1027,1388.92,0
308,1673,1027,1384.98,0
309,1779,1027,1400.34,0
310,1701,1027,1405.46,0
311,1784,1027,1410.07,0
312,1764,1027,1430.84,0
313,1673,1027,1419.6,0
314,1701,1027,1402.68,0
315,1755,1013,1418.19,0
316,1711,1013,1429.73,0
317,1715,1013,1423.96,0
318,1729,1013,1422.14,0
319,1706,1013,1422.17,0
320,1746,1013,1398.51,0
321,1740,1013,1387.3,0
322,1664,1013,1405.38,0
323,1663,1013,1408.06,0
324,1680,1013,1419.5,0
325,1703,1013,1403.63,0
326,1754,1013,1399.44,0
327,1756,1013,1384.35,0
328,1821,1013,1395.09,0
329,1683,1013,1389.93,0
330,1632,1013,1383.34,0
331,1675,1013,1379.88,0
332,1668,1013,1394.53,0
333,1665,1013,1384.53,0
334,1757,1013,1371.14,0
335,1638,1013,1365.83,0
336,1640,1013,1342.16,0
337,1657,1013,1361.19,0
338,1647,1013,1363.58,0
339,1659,1013,1354.93,0
340,1690,1013,1359.24,0
341,1627,1013,1373.43,0
342,1644,1013,1363.23,0
343,1639,1013,1361.64,0
344,1692,1004,1371.44,0
345,1628,1004,1363.1,0
346,1603,1004,1368.63,0
347,1602,1004,1380.69,0
348,1646,1004,1380.19,0
349,1671,1004,1387.96,0
350,1651,1004,1393.37,0
351,1613,1004,1369.24,0
352,1645,1004,1369.49,0
353,1648,988,1371.85,0
354,1686,988,1384.18,0
355,1662,988,1386.02,0
356,1709,988,1404.11,0
357,1670,988,1404.05,0
358,1697,988,1400.74,0
359,1787,988,1393.6,0
360,1797,988,1391.64,0
361,1861,988,1385.48,0
362,1891,988,1382.84,0
363,1777,988,1372.83,0
364,1741,988,1390.65,0
365,1776,988,1362.79,0
366,1806,988,1379.98,0
367,1783,988,1389.81,0
368,1786,988,1396.75,0
369,1806,952,1414.42,0
370,1815,952,1410.18,0
371,1782,952,1432.04,0
372,1841,952,1437.57,0
373,1802,952,1400.63,0
374,1850,952,1398.01,0
375,1813,952,1394.52,0
376,1799,952,1394.47,0
377,1795,952,1405.58,0
378,1727,952,1394.57,0
379,1782,952,1401.56,0
380,1691,952,1390.79,0
381,1757,952,1371.05,0
382,1727,952,1375.3,0
383,1764,952,1393.92,0
384,1824,952,1390.48,0
385,1835,952,1388.66,0
386,1729,952,1389.16,0
387,1687,952,1391.6,0
388,1712,952,1384.26,0
389,1702,952,1393.7,0
390,1700,952,1409.5,0
391,1709,952,1407.48,0
392,1744,952,1410.38,0
393,1701,952,1389.6,0
394,1635,952,1377.18,0
395,1653,952,1359.43,0
396,1672,952,1348.87,0
397,1679,952,1353.57,0
398,1670,952,1331.19,0
399,1653,952,1311.85,0
400,1628,952,1326.66,0
401,1698,952,1342.24,0
402,1657,952,1360.81,0
403,1647,952,1363.85,0
404,1676,952,1376.99,0
405,1698,952,1393.97,0
406,1663,952,1393.05,0
407,1700,952,1399.24,0
408,1742,952,1392.53,0
409,1693,952,1377.68,0
410,1733,952,1405.52,0
411,1743,952,1392.09,0
412,1744,952,1402.02,0
413,1697,952,1401.22,0
414,1724,952,1404.67,0
415,1695,952,1389.18,0
416,1711,952,1371.59,0
417,1713,952,1350.89,0
418,1623,952,1343.51,0
419,1673,952,1341.1,0
420,1727,952,1362.8,0
421,1689,952,1346.02,0
422,1676,952,1349.42,0
423,1627,952,1358.91,0
424,1603,952,1349.27,0
425,1625,952,1338.18,0
426,1658,952,1347.79,0
427,1676,952,1357.24,0
428,1682,952,1364.95,0
429,1628,952,1360.22,0
430,1622,952,1364.56,0
431,1662,952,1355.51,0
432,1581,952,1352.8,0
433,1614,952,1342.37,0
434,1625,952,1353.28,0
435,1639,952,1340.06,0
436,1634,952,1323.78,0
437,1596,952,1343.44,0
438,1631,952,1345.67,0
439,1611,952,1334.26,0
440,1614,952,1341.02,0
441,1599,952,1331.79,0
442,1599,952,1331.69,0
443,1694,952,1348.26,0
444,1724,952,1349.17,0
445,1791,952,1348.96,0
446,1849,952,1368.3,0
447,1823,952,1373.76,0
448,1782,952,1365.87,0
449,1723,952,1367.26,0
450,1688,952,1340.58,0
451,1705,952,1304.92,0
452,1644,952,1278.64,0
453,1712,952,1283.62,0
454,1599,952,1295.88,0
455,1623,952,1307.61,0
456,1596,952,1302.5,0
457,1721,952,1302.63,0
458,1618,952,1291.12,0
459,1571,952,1302.61,0
460,1577,952,1302.29,0
461,1614,952,1317.91,0
462,1657,952,1333.14,0
463,1679,952,1354.32,0
464,1656,952,1370.76,0
465,1655,952,1379.9,0
466,1650,952,1374.62,0
467,1664,952,1368.6,0
468,1709,952,1342.1,0
469,1703,952,1332.63,0
470,1701,952,1330.87,0
471,1694,952,1340.02,0
472,1678,952,1340.07,0
473,1662,952,1325.35,0
474,1698,952,1325.87,0
475,1711,952,1332.46,0
476,1785,952,1343.67,0
477,1678,952,1341.4,0
478,1704,952,1337.59,0
479,1722,952,1369.1,0
480,1727,952,1356.18,0
481,1716,952,1358.06,0
482,1677,952,1334.32,0
483,1682,952,1345.96,0
484,1672,952,1353.34,0
485,1674,952,1346.68,0
486,1642,952,1339.89,0
487,1654,952,1350.74,0
488,1690,952,1341.4,0
489,1612,952,1341.75,0
490,1608,952,1345.69,0
491,1653,952,1352.29,0
492,1621,952,1352.48,0
493,1654,952,1341.09,0
494,1635,952,1345.72,0
495,1711,952,1342.05,0
496,1710,952,1349.53,0
497,1640,952,1347.57,0
498,1680,952,1356.44,0
499,1647,952,1342.42,0
500,1700,952,1329.14,0
501,1711,952,1343.19,0
502,1712,952,1341.76,0
503,1749,952,1347.08,0
504,1728,952,1354.84,0
505,1699,952,1349.42,0
506,1740,952,1337.29,0
507,1671,952,1332.92,0
508,1723,952,1354.03,0
509,1706,952,1344.41,0
510,1780,952,1385.26,0
511,1782,952,1379.8,0
512,1805,952,1359.38,0
513,1806,952,1364.06,0
514,1740,952,1362.05,0
515,1791,952,1361.83,0
516,1780,952,1371.28,0
517,1679,952,1351.86,0
518,1636,952,1370.45,0
519,1642,952,1370.71,0
520,1667,952,1351.53,0
521,1707,952,1345.07,0
522,1654,952,1359.22,0
523,1616,952,1361.77,0
524,1627,952,1355.03,0
525,1640,952,1357.84,0
526,1630,952,1361.13,0
527,1641,952,1373.63,0
528,1672,952,1398.76,0
529,1695,952,1387.41,0
530,1728,952,1358.69,0
531,1690,952,1375.69,0
532,1679,952,1370.83,0
533,1678,952,1374.32,0
534,1723,952,1374.7,0
535,1709,952,1378.98,0
536,1731,952,1375.43,0
537,1644,952,1360.91,0
538,1667,952,1343.46,0
539,1755,952,1367.97,0
540,1726,952,1366.65,0
541,1751,952,1365.7,0
542,1738,952,1353.94,0
543,1832,952,1372.33,0
544,1711,952,1362.37,0
545,1734,952,1380.54,0
546,1743,952,1410.29,0
547,1763,952,1395.28,0
548,1742,952,1413.16,0
549,1746,952,1397.55,0
550,1684,952,1404.73,0
551,1672,952,1395.57,0
552,1680,952,1401.42,0
553,1683,952,1394.41,0
554,1697,952,1373.81,0
555,1685,952,1363.97,0
556,1660,952,1355.86,0
557,1684,952,1343.48,0
558,1697,952,1348.7,0
559,1699,952,1342.7,0
560,1647,952,1326.05,0
561,1671,952,1316.26,0
562,1648,952,1319.34,0
563,1602,952,1317.85,0
564,1642,952,1327.45,0
565,1672,952,1338.82,0
566,1602,952,1331.26,0
567,1580,952,1333.93,0
568,1615,952,1338.08,0
569,1607,952,1361.07,0
570,1582,952,1362.96,0
571,1600,952,1366.86,0
572,1587,952,1369.6,0
573,1597,952,1364.74,0
574,1631,952,1372.68,0
575,1584,952,1378.23,0
576,1618,952,1375.84,0
577,1579,952,1375.42,0
578,1622,952,1381.75,0
579,1587,952,1368.78,0
580,1675,952,1376.88,0
581,1735,952,1370.19,0
582,1638,952,1368.73,0
583,1639,952,1378.81,0
584,1638,952,1376.5,0
585,1692,952,1378.22,0
586,1669,952,1390.22,0
587,1750,952,1390.52,0
588,1757,952,1391.03,0
589,1747,952,1378.75,0
590,1739,951,1372.84,0
591,1765,951,1356.29,0
592,1608,951,1348.49,0
593,1627,951,1381.95,0
594,1646,951,1377.42,0
595,1656,951,1397.52,0
596,1670,951,1401.09,0
597,1669,951,1379.36,0
598,1695,951,1357.52,0
599,1669,951,1349.1,0
600,1668,951,1327.99,0
601,1686,951,1344.66,0
602,1686,951,1376.87,0
603,1705,951,1387.4,0
604,1674,951,1386.66,0
605,1651,951,1380.01,0
606,1670,951,1378.31,0
607,1654,951,1383.22,0
608,1645,951,1376.61,0
609,1673,951,1366.93,0
610,1685,951,1373.26,0
611,1692,951,1374.91,0
612,1697,951,1378.58,0
613,1733,951,1393.49,0
614,1700,951,1380.04,0
615,1643,951,1371.19,0
616,1715,951,1393.07,0
617,1634,951,1381.04,0
618,1664,951,1357.72,0
619,1701,951,1352.07,0
620,1708,951,1363.65,0
621,1699,951,1347.09,0
622,1768,951,1350.03,0
623,1699,951,1332.69,0
624,1611,951,1338.82,0
625,1611,951,1337.6,0
626,1639,951,1344.43,0
627,1652,951,1350.84,0
628,1665,951,1369.54,0
629,1662,951,1378.6,0
630,1625,951,1389.17,0
