Generation,Min,Max,Mean,Evals
Trial 0 final result: after 50000 generations the shortest path is: 8
Trial 0 Shortest path: 1, 1, 1, 1, 13, 13, 13, 13, 7, 7, 7, 8, 1, 
Trial 0 begin summary section
0,76,45,61.3228,0
1,76,45,61.3612,0
2,75,45,60.6596,0
3,75,45,59.5796,0
4,74,45,57.8863,0
5,69,42,56.0115,0
6,69,42,54.6968,0
7,69,42,54.9758,0
8,69,42,53.8132,0
9,69,42,52.2891,0
10,69,42,51.5724,0
11,69,42,51.2101,0
12,69,42,49.993,0
13,69,42,49.5434,0
14,62,42,48.9859,0
15,62,42,47.6872,0
16,59,42,46.9802,0
17,59,42,46.8405,0
18,59,42,46.3312,0
19,59,41,45.4094,0
20,59,41,45.3785,0
21,59,41,45.7993,0
22,59,41,45.5997,0
23,59,41,45.2314,0
24,59,41,45.2235,0
25,59,41,44.9941,0
26,59,41,44.9417,0
27,59,41,44.9294,0
28,46,41,44.4348,0
29,46,41,44.3641,0
30,48,41,44.7841,0
31,46,41,44.7152,0
32,46,41,44.599,0
33,48,41,44.4852,0
34,48,41,44.4499,0
35,47,41,44.4432,0
36,46,41,44.4145,0
37,46,41,44.2706,0
38,47,41,44.1196,0
39,47,41,44.0175,0
40,46,41,44.0029,0
41,46,41,43.7433,0
42,49,41,44.2327,0
43,49,41,44.0412,0
44,54,41,44.0847,0
45,54,41,44.3491,0
46,54,41,43.9575,0
47,46,41,43.8084,0
48,46,41,43.7361,0
49,53,41,43.2155,0
50,53,41,43.2325,0
51,53,41,43.0653,0
52,54,41,43.1508,0
53,54,41,42.8834,0
54,48,41,42.936,0
55,48,40,42.6808,0
56,46,40,42.303,0
57,46,40,42.1109,0
58,56,40,42.1415,0
59,45,40,41.9608,0
60,45,40,41.8622,0
61,45,40,41.7162,0
62,45,40,41.9009,0
63,45,40,41.8186,0
64,58,40,41.8838,0
65,58,40,41.9982,0
66,45,40,41.7923,0
67,45,40,41.6065,0
68,45,40,41.5053,0
69,45,40,41.4325,0
70,45,40,41.3089,0
71,50,40,41.2744,0
72,44,39,41.169,0
73,44,39,41.2289,0
74,44,39,41.2898,0
75,49,39,41.36,0
76,49,39,41.4007,0
77,49,39,41.4804,0
78,49,39,41.5107,0
79,49,39,41.5338,0
80,49,39,41.4038,0
81,49,39,41.4566,0
82,50,39,41.4026,0
83,50,39,41.5331,0
84,50,39,41.464,0
85,50,39,41.5682,0
