Generation,Min,Max,Mean,Evals
Trial 0 final result: after 6894 generations the shortest path is: 0
Trial 0 Shortest path: 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
Trial 0 begin summary section
0,77,45,62.0087,0
1,76,41,58.7604,0
2,76,41,57.8126,0
3,75,41,56.1199,0
4,78,41,54.7985,0
5,72,40,53.8907,0
6,72,40,52.842,0
7,73,40,52.2521,0
8,70,39,51.6617,0
9,67,39,51.4779,0
10,74,39,51.0646,0
11,72,39,51.2915,0
12,67,39,52.5504,0
13,73,35,52.2301,0
14,68,35,51.5534,0
15,68,35,51.1203,0
16,68,34,50.1441,0
17,66,34,49.9395,0
18,66,34,50.1327,0
19,68,34,49.5829,0
20,64,34,48.7092,0
21,70,34,48.7242,0
22,70,31,49.1474,0
23,71,31,48.4849,0
24,69,31,48.766,0
25,70,30,48.2234,0
26,71,30,47.8835,0
27,68,30,47.7976,0
28,68,30,46.7706,0
29,65,30,47.5593,0
30,68,30,47.7131,0
31,68,30,47.685,0
32,69,30,47.009,0
33,68,30,46.5453,0
34,64,30,46.6447,0
35,62,30,46.1895,0
36,67,30,45.7252,0
37,67,30,46.6178,0
38,67,30,46.8243,0
39,67,30,46.7701,0
40,65,30,46.4877,0
41,64,30,46.0985,0
42,63,30,45.5538,0
43,61,30,44.6711,0
44,61,30,44.2303,0
45,63,30,43.8334,0
46,61,30,43.1399,0
47,61,30,44.1893,0
48,66,30,45.0587,0
49,63,30,44.6829,0
50,64,30,44.5959,0
51,64,30,43.8564,0
52,64,30,44.3568,0
53,61,30,44.8371,0
54,69,30,44.598,0
55,63,30,45.7554,0
56,64,30,45.8034,0
57,62,30,45.5433,0
58,64,30,44.7327,0
59,61,30,45.1145,0
60,61,30,45.6814,0
61,63,30,46.7829,0
62,63,30,46.2372,0
63,69,30,46.6662,0
64,69,30,46.9642,0
65,64,30,46.4703,0
66,66,30,45.5556,0
67,67,30,44.975,0
68,66,30,45.0484,0
69,66,30,45.4073,0
70,67,30,45.4342,0
71,64,30,45.7988,0
72,66,30,45.7892,0
73,65,30,45.9653,0
74,66,30,45.7519,0
75,64,30,46.473,0
76,64,30,46.9561,0
77,63,30,46.2053,0
78,64,30,46.9676,0
79,63,30,46.5477,0
80,65,30,46.2557,0
81,64,30,46.888,0
82,65,30,47.5953,0
83,66,30,47.1027,0
84,66,30,47.0086,0
85,63,30,46.2277,0
86,63,30,46.0443,0
87,66,30,45.7339,0
88,67,30,47.3021,0
89,66,30,46.8493,0
90,64,30,45.8649,0
91,69,30,46.2028,0
92,64,30,46.5246,0
93,68,30,46.6587,0
94,70,30,46.2815,0
95,70,30,46.7247,0
96,67,30,44.656,0
97,63,30,44.4735,0
98,65,30,45.8916,0
99,65,30,45.214,0
100,64,30,45.383,0
101,61,30,45.3127,0
102,66,30,44.907,0
103,66,30,43.9022,0
104,66,30,44.6428,0
105,66,30,43.8316,0
106,68,30,44.1823,0
107,60,30,42.9314,0
108,68,30,44.4893,0
109,61,30,45.5878,0
110,71,30,46.0444,0
111,71,30,46.5004,0
112,71,30,46.6032,0
113,70,30,46.0732,0
114,70,30,45.95,0
115,61,30,45.9381,0
116,61,30,45.9292,0
117,67,30,46.4533,0
118,64,30,46.8938,0
119,62,30,45.3391,0
120,60,30,44.5396,0
121,59,30,45.2444,0
122,61,30,45.1747,0
123,66,30,46.0512,0
124,67,30,45.8108,0
125,60,30,45.5488,0
126,65,30,44.8075,0
127,65,30,44.4925,0
128,63,30,45.0793,0
129,63,30,45.4449,0
130,65,30,45.9205,0
131,67,30,45.8387,0
132,70,30,45.9679,0
133,71,30,45.0386,0
134,66,30,46.1067,0
135,61,30,45.8543,0
136,62,30,45.7459,0
137,64,30,45.5576,0
138,67,30,46.3455,0
139,62,30,45.6373,0
140,65,30,45.4602,0
141,68,30,45.3617,0
142,68,30,45.7742,0
143,62,30,45.5419,0
144,64,30,45.4048,0
145,67,30,46.4831,0
146,67,30,46.9032,0
147,65,30,46.5561,0
148,60,30,46.997,0
149,65,30,45.8943,0
150,67,30,46.5599,0
151,67,30,46.3423,0
152,62,30,47.0399,0
153,66,30,46.2022,0
154,62,30,46.5695,0
155,66,30,45.7332,0
156,60,30,45.1026,0
157,61,30,45.0029,0
158,63,30,44.7728,0
159,65,30,44.8758,0
160,64,30,44.6095,0
161,63,30,45.3243,0
162,62,30,45.6735,0
163,63,30,46.9782,0
164,63,30,46.2941,0
165,66,30,45.4623,0
166,62,30,45.4834,0
167,62,30,46.4714,0
168,64,30,46.6082,0
169,69,30,46.8459,0
170,69,30,47.1836,0
171,66,30,48.0134,0
172,64,30,47.4259,0
173,65,30,46.648,0
174,67,30,46.5945,0
175,72,30,46.4048,0
176,67,30,45.7614,0
177,62,30,46.6111,0
178,67,30,47.0225,0
179,62,30,46.6536,0
180,67,30,46.9602,0
181,71,30,47.1973,0
182,66,30,46.155,0
183,68,30,46.243,0
184,66,30,45.9951,0
185,66,30,46.1155,0
186,66,30,45.9632,0
187,60,30,46.4193,0
188,63,30,45.8948,0
189,66,30,46.0348,0
190,69,30,45.7935,0
191,65,30,45.3352,0
192,66,30,45.8047,0
193,60,30,45.682,0
194,63,30,45.8317,0
195,62,30,46.0948,0
196,61,30,45.9791,0
197,63,30,46.8302,0
198,61,30,46.3194,0
199,62,30,46.5239,0
200,63,30,46.3008,0
201,66,30,46.3365,0
202,63,30,46.4402,0
203,63,30,46.1747,0
204,64,30,46.4681,0
205,63,30,46.317,0
206,62,30,45.6704,0
207,63,30,45.6774,0
208,64,30,45.4646,0
209,66,30,44.9432,0
210,63,30,45.1601,0
211,66,30,45.1498,0
212,64,30,44.8934,0
213,64,30,46.2976,0
214,66,30,46.1698,0
215,66,30,46.3219,0
216,70,30,46.6262,0
217,73,30,46.3353,0
218,67,30,46.4519,0
219,67,30,45.8332,0
220,72,30,46.0514,0
221,66,30,46.686,0
222,67,30,45.2998,0
223,63,30,45.5517,0
224,71,30,45.4936,0
225,65,30,45.7457,0
226,65,30,45.7371,0
227,63,30,46.0828,0
228,65,30,46.3072,0
229,62,30,47.306,0
230,69,30,46.8043,0
231,71,30,47.276,0
232,67,30,46.7398,0
233,69,30,47.3971,0
234,69,30,48.2491,0
235,66,30,47.7735,0
236,61,30,47.6233,0
237,62,30,47.1495,0
238,65,30,47.2052,0
239,69,30,47.4707,0
240,65,30,46.7729,0
241,65,30,47.3076,0
242,64,30,47.2712,0
243,67,30,47.5027,0
244,70,30,46.9911,0
245,60,30,46.5396,0
246,66,30,46.8659,0
247,66,30,46.623,0
248,64,30,47.6063,0
249,66,30,47.3335,0
250,64,30,46.3097,0
251,67,30,46.334,0
252,65,30,46.6927,0
253,68,30,46.5651,0
254,64,30,46.4032,0
255,70,30,46.5354,0
256,64,30,47.1293,0
257,63,30,47.3935,0
258,66,30,47.327,0
259,66,30,46.8293,0
260,66,30,46.4723,0
261,66,30,46.3368,0
262,64,30,44.8421,0
263,64,30,44.7553,0
264,63,30,45.0631,0
265,60,30,44.8404,0
266,62,30,44.4662,0
267,68,30,45.7022,0
268,64,30,45.5671,0
269,62,30,45.7389,0
270,66,30,46.4256,0
271,69,30,47.5886,0
272,65,30,46.9033,0
273,66,30,46.3922,0
274,65,30,45.5,0
275,63,30,44.6751,0
276,66,30,43.7989,0
277,66,30,43.8821,0
278,66,30,44.2025,0
279,64,30,44.9105,0
280,64,30,42.8386,0
281,61,30,43.2513,0
282,64,30,45.3595,0
283,63,30,45.3646,0
284,61,30,45.6599,0
285,63,30,45.4251,0
286,70,30,47.152,0
287,66,30,46.99,0
288,66,30,46.537,0
289,67,30,47.0496,0
290,68,30,46.9307,0
291,70,30,46.7795,0
292,67,30,45.901,0
293,68,30,45.1097,0
294,62,30,46.0502,0
295,62,30,46.4888,0
296,62,30,47.2485,0
297,69,30,46.622,0
298,61,30,46.3832,0
299,65,30,46.4837,0
300,63,30,46.3899,0
301,67,30,45.7205,0
302,73,30,45.5259,0
303,62,30,44.7729,0
304,69,30,44.1334,0
305,65,30,43.704,0
306,63,30,43.9625,0
307,62,30,44.9468,0
308,59,30,44.5553,0
309,66,30,44.4827,0
310,64,30,45.1214,0
311,68,30,45.2672,0
312,67,30,45.1122,0
313,63,30,44.893,0
314,65,30,44.9254,0
315,62,30,44.6558,0
316,63,30,44.979,0
317,63,30,45.3103,0
318,64,30,44.9966,0
319,64,30,45.1549,0
320,62,30,45.2904,0
321,60,30,45.3108,0
322,66,30,46.3965,0
323,65,30,46.453,0
324,66,30,46.2016,0
325,66,30,44.8415,0
326,62,30,45.112,0
327,62,30,45.6108,0
328,61,30,46.1068,0
329,68,30,46.1972,0
330,65,30,46.441,0
331,67,30,46.3801,0
332,61,30,46.7388,0
333,64,30,46.417,0
334,61,30,45.8123,0
335,62,30,45.7486,0
336,64,30,45.7487,0
337,65,30,45.9798,0
338,61,30,46.0322,0
339,65,30,46.3332,0
340,65,30,47.0085,0
341,65,30,46.9429,0
342,66,30,47.3021,0
343,64,30,47.1699,0
344,60,30,46.4349,0
345,64,30,46.6359,0
346,68,30,45.8783,0
347,64,30,45.2871,0
348,63,30,45.8572,0
349,63,30,45.8782,0
350,66,30,45.403,0
351,64,30,45.209,0
352,61,30,45.2383,0
353,63,30,46.041,0
354,62,30,45.8145,0
355,62,30,46.1056,0
356,65,30,46.6866,0
357,66,30,46.4285,0
358,64,30,46.6981,0
359,69,30,46.9641,0
360,69,30,46.3645,0
361,67,30,47.1113,0
362,68,30,46.3304,0
363,67,30,45.4211,0
364,63,30,45.3845,0
365,64,30,44.7332,0
366,64,30,44.7478,0
367,58,30,44.6643,0
368,61,30,44.6274,0
369,60,30,44.1668,0
370,63,30,44.4974,0
371,65,30,44.2824,0
372,65,30,43.8685,0
373,62,30,45.8812,0
374,64,30,45.6077,0
375,65,30,45.6163,0
376,64,30,45.8897,0
377,73,30,45.5991,0
378,66,30,45.5515,0
379,66,30,45.4164,0
380,66,30,45.4874,0
381,60,30,46.1912,0
382,66,30,46.6568,0
383,62,30,46.7677,0
384,64,30,46.3274,0
385,64,30,45.8693,0
386,68,30,46.2468,0
387,64,30,46.5135,0
388,69,30,45.7301,0
389,65,30,45.3818,0
390,63,30,45.6389,0
391,65,30,45.7502,0
392,67,30,45.4882,0
393,69,30,46.0914,0
394,63,30,44.834,0
395,62,30,45.2168,0
396,61,30,45.258,0
397,62,30,45.9217,0
398,71,30,45.9871,0
399,63,30,46.3374,0
400,63,30,46.3594,0
401,64,30,46.6312,0
402,65,30,46.4276,0
403,66,30,45.7062,0
404,64,30,46.033,0
405,64,30,45.6987,0
406,69,30,45.5836,0
407,64,30,46.515,0
408,67,30,46.2088,0
409,70,30,45.6381,0
410,70,30,45.0764,0
411,65,30,46.5767,0
412,60,30,46.7287,0
413,63,30,46.238,0
414,62,30,46.024,0
415,67,30,46.7834,0
416,67,30,46.2996,0
417,67,30,46.3194,0
418,66,30,46.2991,0
