Generation,Min,Max,Mean,Evals
Trial 0 final result: after 2083 generations the shortest path is: 0
Trial 0 Shortest path: 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
Trial 0 begin summary section
0,80,49,62.4186,0
1,75,48,60.1881,0
2,74,44,58.3955,0
3,75,39,57.0287,0
4,71,39,54.9834,0
5,70,39,53.9653,0
6,71,35,53.6025,0
7,67,35,52.5889,0
8,68,35,52.4174,0
9,70,32,52.1683,0
10,69,32,50.7037,0
11,65,32,50.192,0
12,68,32,48.8449,0
13,64,32,47.8025,0
14,64,32,46.066,0
15,64,32,46.9895,0
16,63,32,46.9603,0
17,66,32,47.2801,0
18,69,32,46.7937,0
19,67,32,46.684,0
20,70,32,47.007,0
21,65,32,47.6563,0
22,66,32,47.2775,0
23,66,32,47.0941,0
24,64,32,46.399,0
25,64,32,45.906,0
26,67,31,45.9758,0
27,68,31,46.9909,0
28,66,31,46.6978,0
29,60,31,46.4948,0
30,59,31,47.6832,0
31,66,31,46.7731,0
32,66,31,46.3073,0
33,61,31,47.313,0
34,66,31,47.065,0
35,66,31,46.5362,0
36,64,31,45.4769,0
37,63,31,44.8621,0
38,61,31,45.5188,0
39,61,31,45.3228,0
40,65,31,45.5366,0
41,63,31,45.8143,0
42,64,31,45.6991,0
43,64,31,45.1333,0
44,63,31,45.2993,0
45,65,31,46.1067,0
46,67,31,46.7547,0
47,65,31,46.2695,0
48,70,31,47.6773,0
49,65,31,46.815,0
50,67,31,47.0687,0
51,70,31,47.2129,0
52,65,31,46.1207,0
53,68,31,46.7722,0
54,68,31,48.2834,0
55,65,31,47.8907,0
56,62,31,47.3578,0
57,62,31,46.4046,0
58,68,31,46.9092,0
59,64,31,47.2838,0
60,62,31,46.1493,0
61,65,31,45.1534,0
62,65,31,44.9078,0
63,69,31,43.4432,0
64,69,31,42.2736,0
65,64,31,42.7721,0
66,62,31,43.1587,0
67,58,31,42.6717,0
68,65,31,43.2421,0
69,65,31,44.9373,0
70,70,31,45.6159,0
71,61,31,45.2295,0
72,61,31,46.0763,0
73,64,31,45.0157,0
74,67,31,45.7524,0
75,69,31,46.4987,0
76,64,31,45.8757,0
77,64,31,45.6062,0
78,66,31,46.155,0
79,66,31,46.697,0
80,69,31,46.0713,0
81,67,31,46.7269,0
82,66,31,44.9318,0
83,64,31,45.3088,0
84,65,31,45.6039,0
85,68,31,45.8206,0
86,68,31,45.5184,0
87,65,31,45.0977,0
88,60,31,46.102,0
89,60,31,44.4087,0
90,64,31,43.6843,0
91,62,31,44.2218,0
92,63,31,45.5516,0
93,63,31,45.1939,0
94,64,31,45.5448,0
95,66,31,45.0398,0
96,66,31,44.1073,0
97,62,31,44.1616,0
98,68,31,44.5668,0
99,63,31,45.57,0
100,73,31,45.0628,0
101,73,31,45.1249,0
102,63,31,45.2573,0
103,62,31,44.543,0
104,67,31,44.3085,0
105,67,31,43.8996,0
106,66,31,43.5312,0
107,67,31,43.9154,0
108,62,31,43.7042,0
109,62,31,45.1982,0
110,72,31,45.2697,0
111,62,31,45.6366,0
112,61,31,44.8528,0
113,67,31,45.6463,0
114,64,31,44.7278,0
115,64,31,45.4128,0
116,65,31,45.4006,0
117,64,31,46.0535,0
118,65,31,45.3251,0
119,65,31,44.4993,0
120,64,31,45.2626,0
121,64,31,44.5883,0
122,64,31,45.2346,0
123,65,31,45.275,0
124,65,31,45.3307,0
125,66,31,45.3546,0
126,66,31,45.5128,0
127,64,31,46.9332,0
128,62,31,46.6866,0
129,61,31,45.4716,0
130,64,31,46.0736,0
131,64,31,46.4004,0
132,60,31,44.8154,0
133,64,31,44.5782,0
134,63,31,44.0411,0
135,62,31,43.9501,0
136,66,31,44.6658,0
137,64,31,45.0705,0
138,62,31,45.5551,0
139,63,31,45.004,0
140,62,31,44.4432,0
141,63,31,44.1022,0
142,64,31,44.4844,0
143,62,31,43.6435,0
144,64,31,43.692,0
145,60,31,43.9978,0
146,61,31,44.6079,0
147,63,31,45.2084,0
148,63,31,45.5028,0
149,72,31,45.3524,0
150,67,31,44.778,0
151,69,31,45.0839,0
152,68,31,44.4815,0
153,63,31,44.3917,0
154,65,31,45.9964,0
155,66,31,46.0255,0
156,63,31,45.6733,0
157,61,31,45.4482,0
158,62,31,46.1237,0
159,62,31,46.1144,0
160,66,31,46.2173,0
161,65,31,46.9409,0
162,60,31,46.9052,0
163,61,31,46.5183,0
164,62,31,46.7177,0
165,64,31,46.9945,0
166,63,31,46.1847,0
167,61,31,46.4225,0
168,62,31,46.3027,0
169,63,31,45.0979,0
170,64,31,44.8195,0
171,62,31,45.4661,0
172,65,31,46.2765,0
173,62,31,44.7105,0
174,61,31,44.2613,0
175,63,31,44.9046,0
176,63,31,45.0275,0
177,61,31,44.9037,0
178,61,31,44.8062,0
179,64,31,46.1265,0
180,64,31,44.7331,0
181,63,31,44.0641,0
182,62,31,43.2658,0
183,63,31,45.189,0
184,62,31,45.4537,0
185,61,31,45.2612,0
186,61,31,44.1703,0
187,61,31,44.4161,0
188,67,31,45.3274,0
189,67,31,45.3385,0
190,66,31,45.0781,0
191,66,31,44.6181,0
192,67,31,45.0051,0
193,65,31,45.2589,0
194,63,31,45.5032,0
195,62,31,46.6987,0
196,65,31,45.7754,0
197,65,31,44.9291,0
198,62,31,43.6004,0
199,74,31,45.213,0
200,74,31,44.4542,0
201,58,31,44.745,0
202,66,31,45.7989,0
203,61,31,46.1756,0
204,63,31,46.4427,0
205,65,31,46.4373,0
206,65,31,46.264,0
207,67,31,46.3202,0
208,67,31,45.8064,0
209,67,31,45.2268,0
210,63,31,45.1807,0
211,63,31,44.9227,0
212,63,31,45.0076,0
213,64,31,45.3107,0
214,69,31,44.4205,0
215,63,31,44.6154,0
216,66,31,44.7298,0
217,67,31,45.8081,0
218,68,31,45.968,0
219,69,31,45.5165,0
220,68,31,45.4654,0
221,68,31,44.8845,0
222,64,31,45.5161,0
223,64,31,46.7097,0
224,67,31,46.687,0
225,65,31,46.6093,0
226,65,31,45.5484,0
227,66,31,45.041,0
228,72,31,46.0207,0
229,68,31,45.5864,0
230,68,31,45.9717,0
231,67,31,45.4131,0
232,69,31,44.3584,0
233,64,31,43.8459,0
234,59,31,43.7509,0
235,61,31,43.9939,0
236,60,31,44.388,0
237,62,31,44.5244,0
238,64,31,45.433,0
239,64,31,44.5396,0
240,65,31,44.682,0
241,68,31,45.3995,0
242,68,31,45.0242,0
243,69,31,45.0354,0
244,66,31,45.3114,0
245,67,31,45.5364,0
246,60,31,44.956,0
247,65,31,45.6402,0
248,66,31,45.0619,0
249,62,31,44.6042,0
250,62,31,44.2156,0
251,60,31,43.7967,0
252,61,31,44.0131,0
253,65,31,43.8806,0
254,65,31,43.9948,0
255,65,31,44.8002,0
256,63,31,45.3338,0
257,72,31,45.0248,0
258,62,31,45.5753,0
259,70,31,45.986,0
260,67,31,45.5494,0
261,66,31,48.0196,0
262,72,31,46.3853,0
263,71,31,46.072,0
264,71,31,46.6733,0
265,71,31,47.1988,0
266,69,31,46.7048,0
267,68,31,47.8207,0
268,69,31,46.6846,0
269,67,31,45.9844,0
270,68,31,46.1669,0
271,68,31,45.7318,0
272,61,31,44.3578,0
273,60,31,42.797,0
274,60,31,43.8142,0
275,67,31,43.6221,0
276,70,31,44.6384,0
277,70,31,44.7484,0
278,69,31,45.0568,0
279,70,31,44.5114,0
280,70,31,44.3814,0
281,70,31,45.569,0
282,67,31,44.7441,0
283,66,31,44.6413,0
284,67,31,43.9367,0
285,66,31,45.4257,0
286,70,31,46.0682,0
287,62,31,46.1608,0
288,61,31,44.4742,0
289,61,31,44.4694,0
290,66,31,44.407,0
291,69,31,44.7003,0
292,64,31,44.6789,0
293,68,31,45.4252,0
294,69,31,45.6673,0
295,69,31,46.8536,0
296,69,31,45.2771,0
297,69,31,44.2879,0
298,61,31,43.3939,0
299,62,31,44.1589,0
300,63,31,44.1233,0
301,69,31,44.89,0
302,66,31,45.7946,0
303,64,31,46.3579,0
304,67,31,45.9868,0
305,68,31,45.0983,0
306,70,31,44.3673,0
307,67,31,42.5537,0
308,59,31,42.5812,0
309,61,31,42.138,0
310,59,31,41.9002,0
311,59,31,42.6483,0
312,60,31,44.1992,0
313,61,31,44.5419,0
314,62,31,45.8802,0
315,69,31,45.1125,0
316,63,31,44.8161,0
317,64,31,43.9779,0
318,60,31,43.1613,0
319,70,31,43.1601,0
320,70,31,44.4546,0
321,70,31,44.626,0
322,70,31,45.1885,0
323,64,31,44.4789,0
324,62,31,44.454,0
325,63,31,44.5995,0
326,62,31,44.0016,0
327,71,31,44.148,0
328,63,31,44.1622,0
329,66,31,44.7991,0
330,67,31,44.8257,0
331,67,31,46.1673,0
332,68,31,46.0123,0
333,70,31,46.5664,0
334,66,31,45.1285,0
335,66,31,44.1017,0
336,66,31,44.2541,0
337,71,31,43.0334,0
338,71,31,42.783,0
339,73,31,43.6878,0
340,62,31,42.6316,0
341,64,31,44.4455,0
342,71,31,43.8518,0
343,64,31,43.6995,0
344,66,31,43.0688,0
345,68,31,43.3916,0
346,59,31,44.3177,0
347,61,31,44.1402,0
348,62,31,43.8114,0
349,64,31,44.7817,0
350,59,31,44.5276,0
351,63,31,45.2252,0
352,62,31,45.5558,0
353,60,31,45.767,0
354,61,31,46.2639,0
355,64,31,46.3301,0
356,65,31,45.266,0
357,66,31,46.6071,0
358,65,31,45.4582,0
359,65,31,45.4828,0
360,63,31,45.5821,0
361,65,31,45.4598,0
362,66,31,44.8898,0
363,65,31,45.2919,0
364,56,31,44.3061,0
365,62,31,45.3992,0
366,63,31,45.2575,0
367,64,31,45.011,0
368,66,31,46.0673,0
369,71,31,45.5022,0
370,65,31,45.0649,0
371,63,31,44.5181,0
372,61,31,45.1063,0
373,68,31,44.9595,0
374,67,31,45.9655,0
375,70,31,46.6189,0
376,65,31,45.5748,0
377,65,31,45.8674,0
378,71,31,44.7539,0
379,65,31,43.9747,0
380,60,31,43.7598,0
381,60,31,43.6315,0
382,62,31,41.8033,0
383,70,31,42.4902,0
384,70,31,41.5273,0
385,58,31,42.6233,0
386,59,31,42.3203,0
387,62,31,43.0924,0
388,62,31,44.2413,0
389,63,31,43.957,0
390,62,31,44.1938,0
391,62,31,43.922,0
392,60,31,44.1183,0
393,63,31,44.9836,0
394,68,31,45.197,0
395,68,31,45.4684,0
396,66,31,44.8917,0
397,65,31,45.4366,0
398,65,31,44.9798,0
399,64,31,45.0165,0
400,64,31,45.7843,0
401,64,31,46.5401,0
402,64,31,45.6599,0
403,71,31,44.7676,0
404,70,31,44.6314,0
405,64,31,45.4725,0
406,63,31,46.2302,0
407,61,31,45.2637,0
408,63,31,45.5978,0
409,65,31,45.3342,0
410,64,31,44.9135,0
411,64,31,44.7791,0
412,63,31,45.4487,0
413,59,31,44.987,0
414,61,31,44.4819,0
415,66,31,45.0793,0
416,66,31,46.4693,0
417,66,31,45.0353,0
418,65,31,45.2997,0
419,64,31,44.9318,0
420,60,31,44.5214,0
421,60,31,43.6746,0
422,64,31,43.3315,0
423,60,31,44.0071,0
424,64,31,44.2825,0
425,64,31,44.5296,0
426,64,31,45.094,0
427,65,31,44.9844,0
428,65,31,45.8682,0
429,66,31,46.5523,0
430,66,31,46.8738,0
431,70,31,45.2928,0
432,65,31,43.9812,0
433,65,31,44.9796,0
434,64,31,44.1891,0
435,63,31,43.01,0
436,63,31,43.7651,0
437,63,31,44.7466,0
438,64,31,44.1298,0
439,60,31,42.6502,0
440,65,31,43.7375,0
441,59,31,44.8199,0
442,61,31,44.7619,0
443,61,31,44.3293,0
444,63,31,45.3005,0
445,63,31,45.6166,0
446,62,31,45.0813,0
447,64,31,45.4571,0
448,62,31,45.087,0
449,64,31,45.2914,0
450,57,31,45.3957,0
451,66,31,46.1024,0
452,65,31,45.2389,0
453,67,31,44.1195,0
454,65,31,45.1992,0
455,65,31,45.307,0
