Generation,Min,Max,Mean
187,0.999851,0.96877,0.990618
188,0.999842,0.979403,0.994531
189,0.999842,0.995471,0.998245
190,0.999842,0.983601,0.996272
191,0.999842,0.979963,0.99511
192,0.999842,0.973598,0.991866
193,0.999842,0.975489,0.992388
194,0.999842,0.972752,0.990305
195,0.999842,0.958807,0.986789
196,0.999842,0.96374,0.987505
197,0.999842,0.979601,0.992651
198,0.999842,0.982102,0.993873
199,0.999842,0.973698,0.993092
200,0.999842,0.973434,0.992596
201,0.999842,0.971898,0.990345
202,0.999832,0.962047,0.989584
203,0.99986,0.940923,0.983156
204,0.99986,0.965213,0.991111
205,0.999851,0.967218,0.986635
206,0.999851,0.953991,0.985478
207,0.999851,0.963648,0.990579
208,0.999851,0.963081,0.989787
209,0.999851,0.947101,0.988683
210,0.999851,0.981835,0.992443
211,0.999851,0.975155,0.991996
212,0.999846,0.971098,0.989839
213,0.999846,0.975818,0.992891
214,0.999848,0.968075,0.989384
215,0.999848,0.963301,0.986859
216,0.999848,0.962661,0.985473
217,0.999835,0.968869,0.990425
218,0.999857,0.9651,0.987836
219,0.999857,0.966728,0.989921
220,0.999857,0.981648,0.994503
221,0.999857,0.976861,0.991517
222,0.999857,0.963452,0.990521
223,0.999857,0.963663,0.990284
224,0.999857,0.975392,0.990672
225,0.999857,0.978859,0.993392
226,0.999857,0.979143,0.989285
227,0.999857,0.974245,0.990488
228,0.999857,0.977524,0.990125
229,0.999857,0.960448,0.986555
230,0.999858,0.968658,0.987335
231,0.999858,0.961929,0.98781
232,0.999851,0.957818,0.990485
233,0.999851,0.98695,0.995932
234,0.999852,0.967288,0.990726
235,0.999852,0.977583,0.993176
236,0.999835,0.989552,0.996717
237,0.999835,0.987551,0.996277
238,0.999825,0.967357,0.991026
239,0.9998,0.989497,0.994943
240,0.9998,0.980684,0.993335
241,0.9998,0.981255,0.992906
242,0.9998,0.971501,0.990962
243,0.9998,0.971886,0.991439
244,0.9998,0.965539,0.990301
245,0.9998,0.977444,0.991586
246,0.9998,0.975209,0.988009
247,0.9998,0.977961,0.989165
248,0.999768,0.976584,0.987497
249,0.999768,0.976613,0.986141
250,0.999768,0.973141,0.985027
251,0.999768,0.982039,0.996043
252,0.999768,0.961233,0.988875
253,0.999768,0.966378,0.993032
254,0.999768,0.969325,0.985801
255,0.999768,0.942133,0.977439
256,0.999768,0.970752,0.985563
257,0.999768,0.962315,0.979369
258,0.999768,0.974261,0.985963
259,0.999768,0.956598,0.985546
260,0.999768,0.974147,0.989071
261,0.999768,0.960476,0.990962
262,0.999768,0.967929,0.989723
263,0.999768,0.967944,0.986982
264,0.999768,0.969363,0.993506
265,0.999768,0.982202,0.996082
266,0.999768,0.983082,0.996187
267,0.999768,0.974052,0.993644
268,0.999737,0.985168,0.994442
269,0.999737,0.953758,0.988109
270,0.999737,0.968539,0.991059
271,0.999737,0.969568,0.993398
272,0.999738,0.981332,0.995979
273,0.999738,0.982234,0.996224
274,0.999738,0.995253,0.99883
275,0.999738,0.993109,0.998403
276,0.999738,0.994358,0.997823
277,0.999738,0.988898,0.997556
278,0.999738,0.976431,0.995036
279,0.999738,0.942696,0.980291
280,0.999738,0.942613,0.982052
281,0.999738,0.955592,0.982005
282,0.999738,0.940363,0.978649
283,0.999738,0.941404,0.982092
284,0.999738,0.95484,0.984726
285,0.999738,0.970053,0.992925
286,0.999738,0.978694,0.991758
287,0.999738,0.97202,0.990218
288,0.999738,0.9759,0.990458
289,0.999738,0.975641,0.990468
290,0.999738,0.980579,0.994588
291,0.999738,0.966092,0.988799
292,0.999738,0.9679,0.993356
293,0.999738,0.966137,0.987521
294,0.999738,0.966137,0.987412
295,0.999738,0.966599,0.986814
296,0.999738,0.960617,0.985786
297,0.999738,0.972819,0.989023
298,0.999738,0.994125,0.998341
299,0.999738,0.971102,0.993063
300,0.999738,0.972115,0.993294
301,0.999738,0.954649,0.989724
302,0.999738,0.9778,0.993558
303,0.999674,0.972296,0.988729
304,0.999674,0.991812,0.997053
305,0.999674,0.965775,0.991501
306,0.999674,0.991371,0.997139
307,0.999674,0.991371,0.996753
308,0.999674,0.991124,0.997031
309,0.999674,0.996292,0.997971
310,0.999674,0.971555,0.99296
311,0.999674,0.971179,0.993623
312,0.999674,0.967233,0.992671
313,0.999674,0.947701,0.988388
314,0.999674,0.989063,0.997096
315,0.999999,0.995366,0.997921
316,0.999999,0.996382,0.998016
317,0.999999,0.988005,0.996623
318,0.999999,0.933209,0.986552
319,0.999999,0.936274,0.987247
320,0.999999,0.936674,0.98724
321,0.999999,0.958327,0.991664
322,0.999999,0.958007,0.991598
323,0.999999,0.986897,0.99737
324,0.999999,0.994628,0.99888
325,0.999999,0.994668,0.998802
326,0.999999,0.971272,0.994086
327,0.999999,0.99656,0.999311
328,0.999999,0.999154,0.99983
329,0.999999,0.999948,0.999989
330,0.999999,0.999948,0.999989
331,0.999999,0.999938,0.999975
332,0.999999,0.999287,0.999831
333,0.999999,0.999276,0.999708
334,0.999999,0.989079,0.997809
335,0.999999,0.999978,0.99999
336,0.999999,0.999973,0.999991
337,0.999999,0.999338,0.999861
338,0.999999,0.999983,0.999994
339,0.999999,0.953042,0.990602
340,0.999999,0.951557,0.989771
341,0.999999,0.995482,0.998547
342,0.999999,0.986403,0.997206
343,0.999999,0.958169,0.990538
344,0.999999,0.99714,0.9983
345,0.999999,0.99714,0.998806
346,0.999999,0.99714,0.99876
347,0.999999,0.989211,0.997707
348,0.999999,0.947472,0.987291
349,0.999999,0.957899,0.991201
350,0.999999,0.9877,0.997536
351,0.999999,0.98713,0.997078
352,0.999999,0.956287,0.98914
